,geoid10,score10,se10
43980,36047004100,0.44427332,0.046449505
43981,36047004300,0.41687724,0.025210345
43982,36047004400,0.6552242,0.055577658
43983,36047004500,0.40818557,0.032813806
43984,36047004600,0.53528768,0.053242784
43985,36047004700,0.35125998,0.038556911
43986,36047004900,0.49115282,0.047992256
43987,36047005000,0.58407474,0.043349627
43988,36047005100,0.47650751,0.036893271
43989,36047005201,0.64825809,0.084633663
43990,36047005202,0.53715694,0.040138196
43991,36047005300,0.3190259,0.023164395
43992,36047005400,0.52457869,0.030755492
43993,36047005601,0.588103,0.039008919
43994,36047005602,0.48162881,0.045290131
43995,36047005800,0.53087527,0.023976495
43996,36047005900,0.3330422,0.02950917
43997,36047006000,0.49874169,0.028368251
43998,36047006200,0.5245719,0.025250223
43999,36047006300,0.50178117,0.065584101
44000,36047006400,0.52128941,0.027453098
44001,36047006500,0.43795538,0.031250328
44002,36047006600,0.56290948,0.023401067
44003,36047006700,0.53289884,0.043392658
44004,36047006800,0.5179736,0.018811058
44005,36047006900,0.43223581,0.026313648
44006,36047007000,0.57475567,0.028276661
44007,36047007100,0.3582108,0.013110752
44008,36047007200,0.47596332,0.024036583
44009,36047007400,0.44627786,0.013521925
44010,36047007500,0.51341796,0.033591237
44011,36047007600,0.4578011,0.014652132
44012,36047007700,0.43918923,0.031114064
44013,36047007800,0.3949143,0.013342822
44014,36047008000,0.44404075,0.015235907
44015,36047008200,0.43231028,0.015836192
44016,36047008400,0.47028539,0.019071363
44017,36047008500,0.31745812,0.0079806466
44018,36047008800,0.44026718,0.017697051
44019,36047009000,0.45078903,0.019219339
44020,36047009200,0.47080904,0.01412135
44021,36047009400,0.50829691,0.014757663
44022,36047009600,0.45259821,0.013373416
44023,36047009800,0.4355742,0.011922199
44024,36047010000,0.47240806,0.012994066
44025,36047010100,0.44872814,0.01800102
44026,36047010200,0.4550325,0.016738288
44027,36047010400,0.52943599,0.013963772
44028,36047010600,0.51753169,0.013798767
44029,36047010800,0.48784295,0.014979545
44030,36047011000,0.44429463,0.022861971
44031,36047011200,0.44545981,0.012713872
44032,36047011400,0.40959254,0.018134436
44033,36047011600,0.53168178,0.015957452
44034,36047011700,0.46386978,0.022209095
44035,36047011800,0.49035358,0.022954533
44036,36047011900,0.40799496,0.03027915
44037,36047012000,0.47470832,0.028817609
44038,36047012100,0.48178506,0.031403299
44039,36047012200,0.46844482,0.014903403
44040,36047012600,0.4974277,0.024179462
44041,36047012700,0.35389549,0.016169235
44042,36047012801,0.5569765,0.030079503
44043,36047012901,0.47174764,0.032152232
44044,36047012902,0.42724797,0.034323413
44045,36047013000,0.48964763,0.021018317
44046,36047013100,0.3979238,0.019351723
44047,36047013200,0.58379734,0.026732465
44048,36047013300,0.42058682,0.028365398
44049,36047013400,0.49349025,0.025737951
44050,36047013500,0.398873,0.028893283
44051,36047013600,0.52565855,0.02343783
44052,36047013700,0.43941879,0.027777569
44053,36047013800,0.54074079,0.026370209
44054,36047013900,0.42373964,0.020120483
44055,36047014000,0.44265738,0.0397758
44056,36047014100,0.42610577,0.023814626
44057,36047014200,0.54208273,0.023236105
44058,36047014300,0.42505285,0.019511275
44059,36047014500,0.43467614,0.017359532
44060,36047014700,0.43817616,0.027550602
44061,36047014800,0.62363535,0.05206437
44062,36047014900,0.45338434,0.019605905
44063,36047015000,0.62572461,0.055890989
44064,36047015100,0.40037528,0.032858498
44065,36047015200,0.37495562,0.041829761
44066,36047015300,0.44328973,0.037400022
44067,36047015500,0.47230881,0.031959351
44068,36047015700,0.46552774,0.041930441
44069,36047015900,0.44046193,0.034757886
44070,36047016000,0.48534241,0.021355923
44071,36047016100,0.40724453,0.026229804
44072,36047016200,0.54845995,0.039039232
44073,36047016300,0.41583583,0.022348423
44074,36047016400,0.38520947,0.02971481
44075,36047016500,0.49702919,0.036655292
44076,36047016600,0.61293554,0.045935158
44077,36047016700,0.4296518,0.034995385
44078,36047016800,0.65122253,0.082348429
44079,36047016900,0.44345784,0.023691354
44080,36047017000,0.4694629,0.034448709
44081,36047017100,0.50299537,0.042460561
44082,36047017200,0.64972359,0.031328417
44083,36047017400,0.56572574,0.037863705
44085,36047017600,0.47124878,0.032158863
44086,36047017800,0.51467782,0.025084961
44087,36047017900,0.35052422,0.018147457
44088,36047018000,0.5347991,0.024492543
44089,36047018100,0.37605733,0.023223005
44090,36047018200,0.55508047,0.024482736
44091,36047018300,0.41510755,0.025383608
44092,36047018400,0.54841405,0.043517254
44093,36047018501,0.31932676,0.010197618
44094,36047018600,0.63221616,0.041968357
44095,36047018700,0.41498426,0.030574344
44096,36047018800,0.53944194,0.029884508
44097,36047019000,0.50964612,0.021847527
44098,36047019100,0.34855989,0.019765889
44099,36047019200,0.53339297,0.026747016
44100,36047019300,0.3570385,0.025146004
44101,36047019400,0.56772166,0.022820819
44102,36047019500,0.35776186,0.01720858
44103,36047019600,0.549528,0.022054136
44104,36047019700,0.42277715,0.02537352
44105,36047019800,0.44342583,0.041872878
44106,36047019900,0.38338757,0.022107491
44107,36047020000,0.4709335,0.035620425
44108,36047020100,0.38593054,0.022653295
44109,36047020200,0.65115428,0.044215564
44110,36047020300,0.31647995,0.022876579
44111,36047020400,0.62291884,0.051249504
44112,36047020500,0.34983408,0.019966826
44113,36047020600,0.50813884,0.034177251
44114,36047020700,0.36956012,0.017371643
44115,36047020800,0.49568677,0.030144632
44116,36047021000,0.55788571,0.021401897
44117,36047021100,0.42726833,0.028680179
44118,36047021200,0.53154182,0.020089181
44119,36047021300,0.39431548,0.011578358
44120,36047021400,0.48131874,0.028739566
44121,36047021500,0.38070416,0.012731309
44122,36047021600,0.49062464,0.02288802
44123,36047021700,0.40366626,0.013899392
